G-0, T-0, D-0, F-0, R-0
G-0, T-0, D-2, F-0, R-0
G-0, T-0, D-4, F-0, R-0
G-0, T-0, D-6, F-0, R-0
G-0, T-0, D-8, F-0, R-0
G-0, T-2, D-0, F-0, R-0
G-0, T-4, D-0, F-0, R-0
G-0, T-6, D-0, F-0, R-0
G-0, T-8, D-0, F-0, R-0
G-2, T-0, D-0, F-0, R-0
G-2, T-0, D-2, F-0, R-0
G-2, T-0, D-4, F-0, R-0
G-2, T-0, D-6, F-0, R-0
G-2, T-0, D-8, F-0, R-0
G-2, T-2, D-0, F-0, R-0
G-2, T-2, D-2, F-0, R-0
G-2, T-2, D-2, F-2, R-0
G-2, T-2, D-2, F-4, R-0
G-2, T-2, D-2, F-6, R-0
G-2, T-2, D-2, F-8, R-0
G-2, T-2, D-4, F-0, R-0
G-2, T-2, D-4, F-4, R-0
G-2, T-2, D-6, F-0, R-0
G-2, T-2, D-6, F-2, R-0
G-2, T-2, D-6, F-4, R-0
G-2, T-2, D-6, F-6, R-0
G-2, T-2, D-6, F-8, R-0
G-2, T-2, D-8, F-0, R-0
G-2, T-2, D-8, F-4, R-0
G-2, T-4, D-0, F-0, R-0
G-2, T-4, D-2, F-0, R-0
G-2, T-4, D-2, F-2, R-0
G-2, T-4, D-4, F-0, R-0
G-2, T-4, D-6, F-0, R-0
G-2, T-4, D-8, F-0, R-0
G-2, T-6, D-0, F-0, R-0
G-2, T-6, D-2, F-0, R-0
G-2, T-6, D-2, F-4, R-0
G-2, T-6, D-2, F-6, R-0
G-2, T-6, D-2, F-8, R-0
G-2, T-6, D-4, F-0, R-0
G-2, T-6, D-4, F-4, R-0
G-2, T-6, D-6, F-0, R-0
G-2, T-6, D-6, F-2, R-0
G-2, T-6, D-6, F-4, R-0
G-2, T-6, D-6, F-6, R-0
G-2, T-6, D-6, F-8, R-0
G-2, T-6, D-8, F-0, R-0
G-2, T-6, D-8, F-4, R-0
G-2, T-8, D-0, F-0, R-0
G-2, T-8, D-2, F-0, R-0
G-2, T-8, D-2, F-2, R-0
G-2, T-8, D-4, F-0, R-0
G-2, T-8, D-6, F-0, R-0
G-2, T-8, D-8, F-0, R-0
G-4, T-0, D-0, F-0, R-0
